DateTime,Consumption,Month,Year,Date,Time,Week,Day
2016-01-03 21:00:00,11943,1,2016,2016-01-03,21:00:00,53,Sunday
2016-01-03 22:00:00,11756,1,2016,2016-01-03,22:00:00,53,Sunday
2016-01-03 23:00:00,11475,1,2016,2016-01-03,23:00:00,53,Sunday
2016-01-04 00:00:00,11721,1,2016,2016-01-04,00:00:00,1,Monday
2016-01-04 01:00:00,11626,1,2016,2016-01-04,01:00:00,1,Monday
2016-01-04 02:00:00,11253,1,2016,2016-01-04,02:00:00,1,Monday
2016-01-04 03:00:00,10925,1,2016,2016-01-04,03:00:00,1,Monday
2016-01-04 04:00:00,10684,1,2016,2016-01-04,04:00:00,1,Monday
2016-01-04 05:00:00,10622,1,2016,2016-01-04,05:00:00,1,Monday
2016-01-04 06:00:00,10758,1,2016,2016-01-04,06:00:00,1,Monday
2016-01-04 07:00:00,11164,1,2016,2016-01-04,07:00:00,1,Monday
2016-01-04 08:00:00,12024,1,2016,2016-01-04,08:00:00,1,Monday
2016-01-04 09:00:00,12584,1,2016,2016-01-04,09:00:00,1,Monday
2016-01-04 10:00:00,12959,1,2016,2016-01-04,10:00:00,1,Monday
2016-01-04 11:00:00,12927,1,2016,2016-01-04,11:00:00,1,Monday
2016-01-04 12:00:00,12932,1,2016,2016-01-04,12:00:00,1,Monday
2016-01-04 13:00:00,12969,1,2016,2016-01-04,13:00:00,1,Monday
2016-01-04 14:00:00,12922,1,2016,2016-01-04,14:00:00,1,Monday
2016-01-04 15:00:00,12918,1,2016,2016-01-04,15:00:00,1,Monday
2016-01-04 16:00:00,12872,1,2016,2016-01-04,16:00:00,1,Monday
2016-01-04 17:00:00,13051,1,2016,2016-01-04,17:00:00,1,Monday
2016-01-04 18:00:00,13287,1,2016,2016-01-04,18:00:00,1,Monday
2016-01-04 19:00:00,13217,1,2016,2016-01-04,19:00:00,1,Monday
2016-01-04 20:00:00,13136,1,2016,2016-01-04,20:00:00,1,Monday
2016-01-04 21:00:00,13186,1,2016,2016-01-04,21:00:00,1,Monday
2016-01-04 22:00:00,12997,1,2016,2016-01-04,22:00:00,1,Monday
2016-01-04 23:00:00,12481,1,2016,2016-01-04,23:00:00,1,Monday
2016-01-05 00:00:00,12645,1,2016,2016-01-05,00:00:00,1,Tuesday
2016-01-05 01:00:00,12481,1,2016,2016-01-05,01:00:00,1,Tuesday
2016-01-05 02:00:00,12050,1,2016,2016-01-05,02:00:00,1,Tuesday
2016-01-05 03:00:00,11741,1,2016,2016-01-05,03:00:00,1,Tuesday
2016-01-05 04:00:00,11504,1,2016,2016-01-05,04:00:00,1,Tuesday
2016-01-05 05:00:00,11417,1,2016,2016-01-05,05:00:00,1,Tuesday
2016-01-05 06:00:00,11565,1,2016,2016-01-05,06:00:00,1,Tuesday
2016-01-05 07:00:00,11910,1,2016,2016-01-05,07:00:00,1,Tuesday
2016-01-05 08:00:00,12771,1,2016,2016-01-05,08:00:00,1,Tuesday
2016-01-05 09:00:00,13105,1,2016,2016-01-05,09:00:00,1,Tuesday
2016-01-05 10:00:00,13590,1,2016,2016-01-05,10:00:00,1,Tuesday
2016-01-05 11:00:00,13514,1,2016,2016-01-05,11:00:00,1,Tuesday
2016-01-05 12:00:00,13469,1,2016,2016-01-05,12:00:00,1,Tuesday
2016-01-05 13:00:00,13447,1,2016,2016-01-05,13:00:00,1,Tuesday
